TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
ASCX12_835D_Claim,DischargeFraction,,,,,
ASCX12_835D_Claim,PatientLastName,,,,,
ASCX12_835D_Claim,PatientFirstName,,,,,
ASCX12_835D_Claim,PatientMiddleName,,,,,
ASCX12_835D_Claim,PatientNameSuffix,,,,,
ASCX12_835D_Claim,PatientIDNumberType,,,,,
ASCX12_835D_Claim,PatientIDNumber,,,,,
ASCX12_835D_Claim,InsuredLastName,,,,,
ASCX12_835D_Claim,InsuredFirstName,,,,,
ASCX12_835D_Claim,InsuredMiddleName,,,,,
ASCX12_835D_Claim,InsuredNameSuffix,,,,,
ASCX12_835D_Claim,InsuredIDNumberType,,,,,
ASCX12_835D_Claim,InsuredIDNumber,,,,,
ASCX12_835D_Claim,CorrectedLastName,,,,,
ASCX12_835D_Claim,CorrectedFirstName,,,,,
ASCX12_835D_Claim,CorrectedMiddleName,,,,,
ASCX12_835D_Claim,CorrectedNameSuffix,,,,,
ASCX12_835D_Claim,CorrectedIDNumberType,,,,,
ASCX12_835D_Claim,CorrectedIDNumber,,,,,
ASCX12_835D_Claim,RenderingLastNameOrOrganization,,,,,
ASCX12_835D_Claim,RenderingFirstName,,,,,
ASCX12_835D_Claim,RenderingMiddleName,,,,,
ASCX12_835D_Claim,RenderingNameSuffix,,,,,
ASCX12_835D_Claim,RenderingProviderIDType,,,,,
ASCX12_835D_Claim,RenderingProviderID,,,,,
ASCX12_835D_Claim,CrossoverCarrierName,,,,,
ASCX12_835D_Claim,CrossoverCarrierIDType,,,,,
ASCX12_835D_Claim,CrossoverCarrierID,,,,,
ASCX12_835D_Claim,CorrectedPriorityPayerName1,,,,,
ASCX12_835D_Claim,CorrectedPriorityPayerID1Type,,,,,
ASCX12_835D_Claim,CorrectedPriorityPayerID1,,,,,
ASCX12_835D_Claim,CorrectedPriorityPayerName2,,,,,
ASCX12_835D_Claim,CorrectedPriorityPayerID2Type,,,,,
ASCX12_835D_Claim,CorrectedPriorityPayerID2,,,,,
ASCX12_835D_Claim,IPCoveredDaysOrVisitsCount,,,,,
ASCX12_835D_Claim,IPPPSOperatingOutlierAmount,,,,,
ASCX12_835D_Claim,IPLifetimePsychiatricDaysCount,,,,,
ASCX12_835D_Claim,IPClaimDRGAmount,,,,,
ASCX12_835D_Claim,IPRemarkCode1,,,,,
ASCX12_835D_Claim,IPClaimDisproportionateShareAmount,,,,,
ASCX12_835D_Claim,IPClaimMSPPassThroughAmount,,,,,
ASCX12_835D_Claim,IPClaimPPSCapitalAmount,,,,,
ASCX12_835D_Claim,IPPPSCapitalFSPDRGAmount,,,,,
ASCX12_835D_Claim,IPPPSCapitalHSPDRGAmount,,,,,
ASCX12_835D_Claim,IPPPSCapitalDSHDRGAmount,,,,,
ASCX12_835D_Claim,IPOldCapitalAmount,,,,,
ASCX12_835D_Claim,IPPPSCapitalIMEAmount,,,,,
ASCX12_835D_Claim,IPPPSOperatingHospSpecificDRGAmount,,,,,
ASCX12_835D_Claim,IPCostReportDayCount,,,,,
ASCX12_835D_Claim,IPPPSOperatingFederalSpecificDRGAmount,,,,,
ASCX12_835D_Claim,IPClaimPPSCapitalOutlierAmount,,,,,
ASCX12_835D_Claim,IPClaimIndirectTeachingAmount,,,,,
ASCX12_835D_Claim,IPNonpayableProfCompAmount,,,,,
ASCX12_835D_Claim,IPRemarkCode2,,,,,
ASCX12_835D_Claim,IPRemarkCode3,,,,,
ASCX12_835D_Claim,IPRemarkCode4,,,,,
ASCX12_835D_Claim,IPRemarkCode5,,,,,
ASCX12_835D_Claim,IPPPSCapitalExceptionAmount,,,,,
ASCX12_835D_Claim,OPReimbursementRatePct,,,,,
ASCX12_835D_Claim,OPClaimHCPCSPayableAmount,,,,,
ASCX12_835D_Claim,OPRemarkCode1,,,,,
ASCX12_835D_Claim,OPRemarkCode2,,,,,
ASCX12_835D_Claim,OPRemarkCode3,,,,,
ASCX12_835D_Claim,OPRemarkCode4,,,,,
ASCX12_835D_Claim,OPRemarkCode5,,,,,
ASCX12_835D_Claim,OPClaimESRDPaymentAmount,,,,,
ASCX12_835D_Claim,OPNonpayableProfCompAmount,,,,,
ASCX12_835D_Claim,ClaimDateExpiration,,,,,
ASCX12_835D_Claim,ClaimDateReceived,,,,,
ASCX12_835D_Claim,ClaimDateStart,,,,,
ASCX12_835D_Claim,ClaimDateEnd,,,,,
ASCX12_835D_Claim,OtherSubscriberLastName,,,,,
ASCX12_835D_Claim,OtherSubscriberFirstName,,,,,
ASCX12_835D_Claim,OtherSubscriberMiddleName,,,,,
ASCX12_835D_Claim,OtherSubscriberNameSuffix,,,,,
ASCX12_835D_Claim,OtherSubscriberIDNumberType,,,,,
ASCX12_835D_Claim,OtherSubscriberIDNumber,,,,,
ASCX12_835D_ClaimContact,X12DCCC835ID,,,,,
ASCX12_835D_ClaimContact,X12DC835ID,,,,,
ASCX12_835D_ClaimContact,ClaimContactName,,,,,
ASCX12_835D_ClaimContact,ClaimContactNumberType1,,,,,
ASCX12_835D_ClaimContact,ClaimContactNumber1,,,,,
ASCX12_835D_ClaimContact,ClaimContactNumberType2,,,,,
ASCX12_835D_ClaimContact,ClaimContactNumber2,,,,,
ASCX12_835D_ClaimContact,ClaimContactNumberType3,,,,,
ASCX12_835D_ClaimContact,ClaimContactNumber3,,,,,
ASCX12_835D_OtherClaimServiceRefID,X12DCOS835ID,,,,,
ASCX12_835D_OtherClaimServiceRefID,X12DC835ID,,,,,
ASCX12_835D_OtherClaimServiceRefID,X12DS835ID,,,,,
ASCX12_835D_OtherClaimServiceRefID,OtherRefIDQualifier,,,,,
ASCX12_835D_OtherClaimServiceRefID,OtherRefID,,,,,
